method,symbol,phase,n,BA,MCC,Brier,pred_up,constant
B,AAPL,development,126,0.5423427991886409,0.0950921444666288,0.2476481601725102,0.7301587301587301,0
B,AAPL,later,178,0.5318933939623595,0.06773475575686679,0.2709271728279034,0.6685393258426966,0
B,AAPL,train_forward_oof,383,0.5386674933769235,0.07611348404177302,0.2610479128597989,0.5169712793733682,0
B,AMZN,development,126,0.5315398886827458,0.06387187202625091,0.27514801084600843,0.6349206349206349,0
B,AMZN,later,179,0.5026282853566959,0.0053933053944735096,0.27398366185964856,0.6145251396648045,0
B,AMZN,train_forward_oof,382,0.5298456119107245,0.06252583835712863,0.2603069823177504,0.6518324607329843,0
RAW,AAPL,development,126,0.5998985801217038,0.2088932947988504,0.2407980907340667,0.6507936507936508,0
RAW,AAPL,later,178,0.5481242895035998,0.10026104715806736,0.27811030098365713,0.6404494382022472,0
RAW,AAPL,train_forward_oof,383,0.5514063468801083,0.10113908419689435,0.2802278168357799,0.5065274151436031,0
RAW,AMZN,development,126,0.5213358070500927,0.04301500708984443,0.3036340526902022,0.626984126984127,0
RAW,AMZN,later,179,0.5006883604505632,0.0013798329201946207,0.29479600220748453,0.5418994413407822,0
RAW,AMZN,train_forward_oof,382,0.4772821091449487,-0.04759343436035933,0.27284078500267495,0.6518324607329843,0
RANDOM,AAPL,development,126,0.5580628803245437,0.11968357416735677,0.25690562786384236,0.626984126984127,0
RANDOM,AAPL,later,178,0.5191360363774157,0.039069804927383864,0.28176113114260054,0.601123595505618,0
RANDOM,AAPL,train_forward_oof,383,0.546009244123781,0.09052058933740681,0.27920403152225237,0.5065274151436031,0
RANDOM,AMZN,development,126,0.4935064935064935,-0.012824880070183379,0.3037227246943533,0.5793650793650794,0
RANDOM,AMZN,later,179,0.507133917396746,0.014267834793491864,0.2862702484658517,0.5251396648044693,0
RANDOM,AMZN,train_forward_oof,382,0.49058810578748935,-0.01968354546432267,0.2810891938090627,0.6492146596858639,0
SSL,AAPL,development,126,0.5519776876267748,0.1086881356186912,0.25606329813897416,0.6507936507936508,0
SSL,AAPL,later,178,0.4924213717317165,-0.016028183089862386,0.2940829122522689,0.6629213483146067,0
SSL,AAPL,train_forward_oof,383,0.5177836649568796,0.034985494045492914,0.27247221609739214,0.49869451697127937,0
SSL,AMZN,development,126,0.5213358070500927,0.04301500708984443,0.31278095593942223,0.626984126984127,0
SSL,AMZN,later,179,0.5065707133917396,0.013159556307948026,0.28048004428261053,0.5363128491620112,0
SSL,AMZN,train_forward_oof,382,0.5196356331012466,0.044159965423765185,0.2694771594351689,0.7303664921465969,0
