method,symbol,month,n,BA,MCC,Brier,pred_up,constant
B,AAPL,2018-03,62,0.45416666666666666,-0.09283444198266944,0.30819176380962665,0.41935483870967744,0
B,AAPL,2018-04,63,0.5246975806451613,0.049696660496618174,0.2544126602099706,0.5555555555555556,0
B,AAPL,2018-05,66,0.5535880708294502,0.10717614165890028,0.26829312322950893,0.4393939393939394,0
B,AAPL,2018-06,63,0.44907407407407407,-0.10112618056102679,0.27757307645000134,0.4603174603174603,0
B,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.23930497764555564,0.5333333333333333,0
B,AAPL,2018-08,69,0.5849673202614378,0.16011904396842466,0.22163355170502877,0.6811594202898551,0
B,AAPL,2018-09,57,0.583128078817734,0.18874935627258327,0.23391685073597573,0.7368421052631579,0
B,AAPL,2018-10,69,0.5076923076923077,0.017073311796734165,0.2589914157939952,0.7246376811594203,0
B,AAPL,2018-11,60,0.5595105672969967,0.13199128086258038,0.26193196011813435,0.7166666666666667,0
B,AAPL,2018-12,53,0.5510835913312693,0.0988560221951239,0.27010836189886034,0.5660377358490566,0
B,AAPL,2019-01,63,0.4724532224532224,-0.059099688913016576,0.2749772563997905,0.6984126984126984,0
B,AAPL,2019-02,2,,0.0,0.43490441122617274,1.0,1
B,AMZN,2018-03,62,0.4291005291005291,-0.15489104267951137,0.3125800140143523,0.7096774193548387,0
B,AMZN,2018-04,63,0.4714285714285714,-0.058038100008800934,0.287192025216281,0.6031746031746031,0
B,AMZN,2018-05,65,0.4722222222222222,-0.054812658916372645,0.25939251703554306,0.5230769230769231,0
B,AMZN,2018-06,63,0.6048913043478261,0.22006970263318495,0.23450514679304893,0.6984126984126984,0
B,AMZN,2018-07,60,0.6,0.2364331218717302,0.24156045313866373,0.7666666666666667,0
B,AMZN,2018-08,69,0.6211206896551724,0.24674958079543985,0.22951077890250585,0.6231884057971014,0
B,AMZN,2018-09,57,0.49384236453201974,-0.012900487596043946,0.26909145085122754,0.6491228070175439,0
B,AMZN,2018-10,69,0.5654761904761905,0.1243434071559219,0.2801512560590883,0.6231884057971014,0
B,AMZN,2018-11,60,0.513888888888889,0.027777777777777776,0.2883489403084842,0.6,0
B,AMZN,2018-12,54,0.5586466165413534,0.1127242960381356,0.2578920822214658,0.5555555555555556,0
B,AMZN,2019-01,63,0.4226315789473684,-0.16059101370939324,0.274643734677918,0.6666666666666666,0
B,AMZN,2019-02,2,0.5,0.0,0.2567056648500301,1.0,1
RAW,AAPL,2018-03,62,0.4875,-0.025649458802128853,0.3248751693846734,0.3870967741935484,0
RAW,AAPL,2018-04,63,0.4939516129032258,-0.012453387034667947,0.3147729630307937,0.6190476190476191,0
RAW,AAPL,2018-05,66,0.5806150978564772,0.1603361211918254,0.27317854423894655,0.4696969696969697,0
RAW,AAPL,2018-06,63,0.49537037037037035,-0.009174698042719672,0.2949266381918188,0.47619047619047616,0
RAW,AAPL,2018-07,60,0.6153846153846154,0.22026221762026077,0.24613893225426572,0.48333333333333334,0
RAW,AAPL,2018-08,69,0.6388888888888888,0.24839788620727343,0.2315333132493183,0.5942028985507246,0
RAW,AAPL,2018-09,57,0.5818965517241379,0.17370208344491278,0.22113019794970318,0.6666666666666666,0
RAW,AAPL,2018-10,69,0.6141025641025641,0.23535421897983555,0.2570454804254974,0.6376811594202898,0
RAW,AAPL,2018-11,60,0.5283648498331479,0.05943583650070529,0.2703289464094294,0.65,0
RAW,AAPL,2018-12,53,0.6625386996904025,0.31228707916633613,0.26205621716580346,0.5283018867924528,0
RAW,AAPL,2019-01,63,0.45322245322245325,-0.10195592378577321,0.29487775776004127,0.7142857142857143,0
RAW,AAPL,2019-02,2,,0.0,0.4088092709275051,1.0,1
RAW,AMZN,2018-03,62,0.41058201058201055,-0.19233564228738492,0.3071639165025587,0.6935483870967742,0
RAW,AMZN,2018-04,63,0.5178571428571428,0.03604686254552953,0.31920966719541727,0.5873015873015873,0
RAW,AMZN,2018-05,65,0.40350877192982454,-0.19131158091484035,0.27414850900774107,0.5538461538461539,0
RAW,AMZN,2018-06,63,0.5021739130434782,0.004561030106387253,0.24042853131632377,0.6984126984126984,0
RAW,AMZN,2018-07,60,0.4833333333333333,-0.03849001794597505,0.260509270313733,0.75,0
