symbol,phase,base,block_days,BA_delta_low,BA_delta_high
AAPL,development,B,1,-0.07343737816764132,0.07479716024340766
AAPL,development,RAW,1,-0.1285128794227507,0.03727539479300043
AAPL,development,RANDOM,1,-0.09975032010243282,0.08451784489900864
AMZN,development,B,1,-0.07142857142857145,0.05704575596816978
AMZN,development,RAW,1,-0.05925974209717836,0.07132326468894007
AMZN,development,RANDOM,1,-0.02396262471135667,0.07878152153883225
AAPL,development,B,5,-0.06137466797369084,0.07323216449924963
AAPL,development,RAW,5,-0.1209981617647059,0.01716901567159004
AAPL,development,RANDOM,5,-0.10032465675057214,0.0950157810099847
AMZN,development,B,5,-0.07718790218790213,0.06510749299719895
AMZN,development,RAW,5,-0.07121138996138995,0.07739448051948057
AMZN,development,RANDOM,5,-0.018988201706108963,0.07529139456515292
AAPL,later,B,1,-0.0849460689530223,0.0069436744427366194
AAPL,later,RAW,1,-0.11059585998843867,-0.0005588100730329322
AAPL,later,RANDOM,1,-0.09137214137214143,0.03659537805513536
AMZN,later,B,1,-0.05766217431165785,0.06793950991599987
AMZN,later,RAW,1,-0.05435334027385655,0.05905852111408161
AMZN,later,RANDOM,1,-0.06195512725343396,0.05940620742480087
AAPL,later,B,5,-0.08788998227985464,0.010991092241092203
AAPL,later,RAW,5,-0.12632507069813567,0.010739719426001286
AAPL,later,RANDOM,5,-0.09419059132063026,0.045997867264314624
AMZN,later,B,5,-0.06332235583447687,0.07896731264781673
AMZN,later,RAW,5,-0.05838181777941125,0.06989228586171306
AMZN,later,RANDOM,5,-0.06095686568371577,0.059632798573974986
AAPL,train_forward_oof,B,1,-0.05835506003390636,0.017028841554385762
AAPL,train_forward_oof,RAW,1,-0.07428764925545923,0.009212205867735877
AAPL,train_forward_oof,RANDOM,1,-0.06926144677515701,0.017023792269796636
AMZN,train_forward_oof,B,1,-0.056553235174321405,0.03725792167695816
AMZN,train_forward_oof,RAW,1,-0.0029926487446978673,0.08686065730573733
AMZN,train_forward_oof,RANDOM,1,-0.019620735529849324,0.07693277046070733
AAPL,train_forward_oof,B,5,-0.0538919355723171,0.02177056429242643
AAPL,train_forward_oof,RAW,5,-0.0684685502695389,0.0053177013619974635
AAPL,train_forward_oof,RANDOM,5,-0.068684781739977,0.014738020689181097
AMZN,train_forward_oof,B,5,-0.05732244981031076,0.03587203700770777
AMZN,train_forward_oof,RAW,5,-0.004400612041239456,0.08766375993646136
AMZN,train_forward_oof,RANDOM,5,-0.030167912984302773,0.08500555629858031
