method,seed,symbol,phase,n,BA,MCC,Brier,pred_up,constant
RANDOM,573,AAPL,development,126,0.5261156186612576,0.05383147659055785,0.2671522916408487,0.626984126984127,0
RANDOM,573,AAPL,later,178,0.5031577617784514,0.00657880886863959,0.31168662821264853,0.6404494382022472,0
RANDOM,573,AAPL,train_forward_oof,383,0.5447691787385154,0.08807362486729872,0.2805288168801413,0.49869451697127937,0
RANDOM,573,AMZN,development,126,0.4693877551020408,-0.05996621038308492,0.3068483692502001,0.5476190476190477,0
RANDOM,573,AMZN,later,179,0.5082603254067584,0.016500012890640105,0.2903868651051022,0.5027932960893855,0
RANDOM,573,AMZN,train_forward_oof,382,0.5066873985194155,0.013938778829681892,0.29074371489101886,0.643979057591623,0
RANDOM,574,AAPL,development,126,0.566683569979716,0.1380681105731693,0.27306618788112746,0.6349206349206349,0
RANDOM,574,AAPL,later,178,0.5536187949981054,0.11133493700081393,0.29334244311243124,0.6348314606741573,0
RANDOM,574,AAPL,train_forward_oof,383,0.5101741728200214,0.020016018641058102,0.2934254861117183,0.4960835509138381,0
RANDOM,574,AMZN,development,126,0.43042671614100186,-0.13819749820569552,0.3324728190300258,0.5952380952380952,0
RANDOM,574,AMZN,later,179,0.4917396745932415,-0.016500012890640105,0.30003841308379653,0.4972067039106145,0
RANDOM,574,AMZN,train_forward_oof,382,0.5229380521231802,0.04899577455180608,0.28191649200267815,0.6780104712041884,0
RANDOM,575,AAPL,development,126,0.5408215010141988,0.08347261438982782,0.26834376855215397,0.6111111111111112,0
RANDOM,575,AAPL,later,178,0.5251357837564734,0.051719218118100985,0.2882627851509694,0.6179775280898876,0
RANDOM,575,AAPL,train_forward_oof,383,0.5480525336790485,0.0950789435596357,0.2854677059643097,0.5535248041775457,0
RANDOM,575,AMZN,development,126,0.4730983302411874,-0.052886169941513954,0.3072713871978551,0.5634920634920635,0
RANDOM,575,AMZN,later,179,0.5102002503128911,0.020610513221119175,0.30454573375839905,0.5754189944134078,0
RANDOM,575,AMZN,train_forward_oof,382,0.4810661309409142,-0.03921680408782906,0.2924280561932619,0.6335078534031413,0
SSL,573,AAPL,development,126,0.5679513184584178,0.14208985534541094,0.25959502178856764,0.6507936507936508,0
SSL,573,AAPL,later,178,0.4976632562839459,-0.004885423382579366,0.2897904330238277,0.6460674157303371,0
SSL,573,AAPL,train_forward_oof,383,0.5354827800011273,0.06985801326089808,0.27510622381892075,0.5195822454308094,0
SSL,573,AMZN,development,126,0.5241187384044528,0.048065801332024816,0.31380040854217217,0.6031746031746031,0
SSL,573,AMZN,later,179,0.4852941176470588,-0.029386031015192934,0.29823947214205926,0.5139664804469274,0
SSL,573,AMZN,train_forward_oof,382,0.5041968241737073,0.00938189937924238,0.2721265972292604,0.725130890052356,0
SSL,574,AAPL,development,126,0.5654158215010142,0.13428061711092115,0.260834143488798,0.6190476190476191,0
SSL,574,AAPL,later,178,0.4914108879626121,-0.01767289865342144,0.3079209907461659,0.6179775280898876,0
SSL,574,AAPL,train_forward_oof,383,0.51972831294741,0.038821753791025426,0.27637134782323053,0.48825065274151436,0
SSL,574,AMZN,development,126,0.48794063079777367,-0.0243128300942599,0.3211422416795815,0.626984126984127,0
SSL,574,AMZN,later,179,0.5371088861076345,0.07415283571067834,0.2923478196088199,0.4860335195530726,0
SSL,574,AMZN,train_forward_oof,382,0.5135674381484437,0.029592561429504362,0.26969745863286226,0.7015706806282722,0
SSL,575,AAPL,development,126,0.5644016227180527,0.14096113689255768,0.2637350283990287,0.7063492063492064,0
SSL,575,AAPL,later,178,0.541871921182266,0.0859202261768383,0.30056115681567885,0.6123595505617978,0
SSL,575,AAPL,train_forward_oof,383,0.536187362606392,0.0711907675981187,0.2714683997823015,0.5013054830287206,0
SSL,575,AMZN,development,126,0.5343228200371057,0.0686456400742115,0.31903979913858255,0.6111111111111112,0
SSL,575,AMZN,later,179,0.5396120150187735,0.07948309559892155,0.2795722036961091,0.547486033519553,0
SSL,575,AMZN,train_forward_oof,382,0.5171725789140545,0.03850356864416134,0.2729433052908554,0.7277486910994765,0
