,,,BA,BA,MCC,MCC,Brier,Brier
,,,mean,std,mean,std,mean,std
method,symbol,phase,,,,,,
RANDOM,AAPL,development,0.5445402298850575,0.02053804705553628,0.09179073385118498,0.04272991878894892,0.2695207493580434,0.0031276996416327823
RANDOM,AAPL,later,0.52730411351101,0.025300300568215844,0.056544321329184834,0.052544484116406935,0.29776395215868307,0.012321988988353632
RANDOM,AAPL,train_forward_oof,0.5343319617458618,0.02098557073933114,0.0677228623559975,0.04146354815288414,0.2864740029853898,0.00650695739867352
RANDOM,AMZN,development,0.45763760049474334,0.02363823729575311,-0.08368329284343146,0.04734322214290969,0.31553085849269363,0.01467369265666959
RANDOM,AMZN,later,0.5034000834376303,0.01014468717970563,0.006870171073706392,0.020343258763955832,0.29832367064909926,0.007233508595304319
RANDOM,AMZN,train_forward_oof,0.5035638605278366,0.021109993203743613,0.007905916431219637,0.044414652189368076,0.2883627543623197,0.0056457927001093864
SSL,AAPL,development,0.5659229208924949,0.0018283728577403722,0.13911053644962992,0.004220733579637259,0.2613880645587981,0.0021248611948802456
SSL,AAPL,later,0.5103153551429414,0.02750701133442342,0.021120634713612498,0.056481148813576056,0.2994241935285575,0.009118596107293918
SSL,AAPL,train_forward_oof,0.530466151851643,0.009305911960246412,0.059956844883347404,0.01831565218990047,0.2743153238081509,0.0025453618590073487
SSL,AMZN,development,0.5154607297464441,0.024373093876238157,0.03079953710399214,0.04882532339175879,0.3179941497867787,0.003780960906910596
SSL,AMZN,later,0.520671672924489,0.03066341430177276,0.04141663343146899,0.0613747984695592,0.2900531651489961,0.009542840621417931
SSL,AMZN,train_forward_oof,0.5116456137454019,0.006697955624480263,0.025826009817636025,0.01492173208704279,0.27158912038432603,0.0016883545690795517
