method,symbol,phase,original_news,n,BA,MCC,Brier,pred_up,constant
B,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
B,AAPL,development,1,124,0.5472689075630253,0.10645752491259383,0.24904107152264188,0.7338709677419355,0
B,AAPL,later,1,178,0.5318933939623595,0.06773475575686679,0.2709271728279034,0.6685393258426966,0
B,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
B,AAPL,train_forward_oof,1,379,0.5395670995670996,0.07776597364041879,0.2605453716525269,0.5145118733509235,0
B,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
B,AMZN,development,1,73,0.5519323671497585,0.11076883630255423,0.28105681615906103,0.7123287671232876,0
B,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
B,AMZN,later,1,84,0.45514663599769983,-0.08999179993738798,0.30820772680385,0.5714285714285714,0
B,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
B,AMZN,train_forward_oof,1,198,0.4581502299437915,-0.0850487718310027,0.27258774445263784,0.5909090909090909,0
RAW,AAPL,development,0,2,,0.0,0.12860231473799477,1.0,1
RAW,AAPL,development,1,124,0.5955882352941176,0.19884358187649895,0.24260770002432594,0.6451612903225806,0
RAW,AAPL,later,1,178,0.5481242895035998,0.10026104715806736,0.27811030098365713,0.6404494382022472,0
RAW,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3267854406995992,0.75,0
RAW,AAPL,train_forward_oof,1,379,0.5525541125541125,0.10325063082651448,0.27973644349684784,0.503957783641161,0
RAW,AMZN,development,0,53,0.47580645161290325,-0.0477609253551835,0.3078149621228208,0.5283018867924528,0
RAW,AMZN,development,1,73,0.5628019323671498,0.13215006222856993,0.3005985978966571,0.6986301369863014,0
RAW,AMZN,later,0,95,0.5693705673758865,0.14100953254300497,0.2530536702811256,0.5894736842105263,0
RAW,AMZN,later,1,84,0.4289821736630247,-0.1410655628748284,0.3420045918861048,0.4880952380952381,0
RAW,AMZN,train_forward_oof,0,184,0.5480019493177388,0.10325981525627079,0.2528677246554187,0.7010869565217391,0
RAW,AMZN,train_forward_oof,1,198,0.4031170158405723,-0.19811620196231625,0.29140160875972115,0.6060606060606061,0
RANDOM,AAPL,development,0,2,,0.0,0.16126473230024446,1.0,1
RANDOM,AAPL,development,1,124,0.5525210084033614,0.10774998786398486,0.2584482229535778,0.6209677419354839,0
RANDOM,AAPL,later,1,178,0.5191360363774157,0.039069804927383864,0.28176113114260054,0.601123595505618,0
RANDOM,AAPL,train_forward_oof,0,4,0.8333333333333333,0.5773502691896258,0.24103386381400727,0.5,0
RANDOM,AAPL,train_forward_oof,1,379,0.5438383838383838,0.08613203980533461,0.2796068828964819,0.5065963060686016,0
RANDOM,AMZN,development,0,53,0.48533724340175954,-0.02894601536677788,0.31438706741579747,0.4716981132075472,0
RANDOM,AMZN,development,1,73,0.5072463768115942,0.014744195615489713,0.29598011970481153,0.6575342465753424,0
RANDOM,AMZN,later,0,95,0.5587322695035462,0.11895014776420841,0.2512621895323293,0.5789473684210527,0
RANDOM,AMZN,later,1,84,0.4560092006900518,-0.08757962462190651,0.3258626960692399,0.4642857142857143,0
RANDOM,AMZN,train_forward_oof,0,184,0.5531189083820662,0.10906485834316165,0.25132848598575624,0.6413043478260869,0
RANDOM,AMZN,train_forward_oof,1,198,0.43551354113438934,-0.1356915512433389,0.3087456091600142,0.6565656565656566,0
SSL,AAPL,development,0,2,,0.0,0.10318231245049718,1.0,1
SSL,AAPL,development,1,124,0.5467436974789915,0.09723669663191431,0.25852912048878823,0.6451612903225806,0
SSL,AAPL,later,1,178,0.4924213717317165,-0.016028183089862386,0.2940829122522689,0.6629213483146067,0
SSL,AAPL,train_forward_oof,0,4,0.5,0.0,0.3228146395534532,1.0,1
SSL,AAPL,train_forward_oof,1,379,0.5217893217893217,0.04281085586111102,0.27194089764403,0.49340369393139843,0
SSL,AMZN,development,0,53,0.5051319648093842,0.010263929618768328,0.3182405638273273,0.5849056603773585,0
SSL,AMZN,development,1,73,0.536634460547504,0.07454010005608688,0.30881713103450487,0.6575342465753424,0
SSL,AMZN,later,0,95,0.6012854609929078,0.2087706273258954,0.2496069756769257,0.6210526315789474,0
SSL,AMZN,later,1,84,0.410580793559517,-0.17883841288096608,0.3153960147295159,0.44047619047619047,0
SSL,AMZN,train_forward_oof,0,184,0.5494639376218323,0.11332447045177128,0.2573609216696538,0.7554347826086957,0
SSL,AMZN,train_forward_oof,1,198,0.4881451200817578,-0.026027326209463783,0.2807366935202941,0.7070707070707071,0
