phase,symbol,method,n,BA,MCC,Brier,pred_up,constant
development,AAPL,R1,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.7777777777777778,0
development,AAPL,F1_new,126,0.5793610547667343,0.19548759607310848,0.24904942426014504,0.7936507936507936,0
development,AAPL,P_own_tabpfn,126,0.5524847870182557,0.14951465315404883,0.256278803509072,0.8571428571428571,0
development,AAPL,P_cross_tabpfn,126,0.5316937119675457,0.10386295096209561,0.2589984178996297,0.8968253968253969,0
development,AAPL,own_n8,126,0.5476673427991886,0.15620987824699178,0.2583884102223563,0.8968253968253969,0
development,AAPL,cross_n8,126,0.5109026369168357,0.0445701402773057,0.2622648076487466,0.9365079365079365,0
development,AMZN,R1,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.6190476190476191,0
development,AMZN,F1_new,126,0.5667903525046383,0.1315903389919538,0.24942184326660058,0.42857142857142855,0
development,AMZN,P_own_tabpfn,126,0.5742115027829313,0.16622858516380254,0.2572197099066059,0.746031746031746,0
development,AMZN,P_cross_tabpfn,126,0.5231910946196661,0.04964765961593299,0.25091200796961366,0.7063492063492064,0
development,AMZN,own_n8,126,0.5324675324675324,0.08194833825732362,0.25730901475283036,0.8174603174603174,0
development,AMZN,cross_n8,126,0.4897959183673469,-0.027802166075314636,0.2579865964457809,0.8492063492063492,0
later,AAPL,R1,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,0
later,AAPL,F1_new,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0
later,AAPL,P_own_tabpfn,178,0.45648604269293924,-0.11194325436735891,0.2697141740419799,0.8146067415730337,0
later,AAPL,P_cross_tabpfn,178,0.5017051913603637,0.004495147298372669,0.2676656832601392,0.8258426966292135,0
later,AAPL,own_n8,178,0.4914740431981811,-0.02541111250155977,0.2694830691416126,0.8707865168539326,0
later,AAPL,cross_n8,178,0.49197928508273336,-0.02596857003993754,0.266114748509036,0.8932584269662921,0
later,AMZN,R1,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.6089385474860335,0
later,AMZN,F1_new,179,0.538235294117647,0.07657608480148803,0.25873821779975675,0.46368715083798884,0
later,AMZN,P_own_tabpfn,179,0.5227784730913642,0.04799788190327827,0.25087018368650754,0.659217877094972,0
later,AMZN,P_cross_tabpfn,179,0.5434918648310388,0.0941497622381132,0.24982324240926704,0.6927374301675978,0
later,AMZN,own_n8,179,0.5437421777221527,0.10898946405133683,0.2503767536066849,0.7988826815642458,0
later,AMZN,cross_n8,179,0.5014392991239048,0.004146904954445083,0.25110051160063857,0.8603351955307262,0
train_forward_oof,AAPL,R1,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.46475195822454307,0
train_forward_oof,AAPL,F1_new,383,0.503029705202638,0.006144151764253761,0.2597824287536062,0.6214099216710183,0
train_forward_oof,AAPL,P_own_tabpfn,383,0.5529141536553746,0.10425356706418466,0.24983560683475445,0.5274151436031331,0
train_forward_oof,AAPL,P_cross_tabpfn,383,0.508229524829491,0.01619112532099405,0.26283200550370556,0.5065274151436031,0
train_forward_oof,AAPL,own_n8,383,0.5384983935516601,0.07631374708816556,0.25020313389829985,0.5613577023498695,0
train_forward_oof,AAPL,cross_n8,383,0.5203624372921482,0.04047807212190303,0.26053730460055097,0.5718015665796344,0
train_forward_oof,AMZN,R1,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.6544502617801047,0
train_forward_oof,AMZN,F1_new,382,0.5379502985937199,0.07580157347985839,0.2573844184492476,0.4816753926701571,0
train_forward_oof,AMZN,P_own_tabpfn,382,0.4915237911770372,-0.021190376267280098,0.2604382972410834,0.8010471204188482,0
train_forward_oof,AMZN,P_cross_tabpfn,382,0.5018851308583537,0.0044165061756924135,0.26248338638347746,0.7617801047120419,0
train_forward_oof,AMZN,own_n8,382,0.48542807606571814,-0.04142535173142439,0.2551533630976744,0.856020942408377,0
train_forward_oof,AMZN,cross_n8,382,0.5008668849932575,0.002502822964876078,0.2620520412947115,0.8612565445026178,0
