symbol,seed,coverage,method,n,up,down,errors,can_modify,changed,repaired,introduced,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AAPL,573,no_news,FULL,6,3,3,3,0,0,0,0,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False,0.7229382989762928,0.6666666666666666,0.3333333333333333
AAPL,573,no_news,TFIDF_SVM,6,3,3,3,0,2,1,1,0.5,0.30051400603478284,0.0,0.5,1.0,True,0.7987142542939277,1.0,0.0
AAPL,573,no_news,A1,6,3,3,3,0,0,0,0,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False,0.7229382989762928,0.6666666666666666,0.3333333333333333
AAPL,573,no_news,A2,6,3,3,3,0,0,0,0,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False,0.7229382989762928,0.6666666666666666,0.3333333333333333
AAPL,573,no_news,A3,6,3,3,3,0,0,0,0,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False,0.7229382989762928,0.6666666666666666,0.3333333333333333
AAPL,573,no_news,B1,6,3,3,3,0,0,0,0,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False,0.7229382989762928,0.6666666666666666,0.3333333333333333
AAPL,573,no_news,B2,6,3,3,3,0,0,0,0,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False,0.7229382989762928,0.6666666666666666,0.3333333333333333
AAPL,573,no_news,FULL_SHRINK,6,3,3,3,0,0,0,0,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False,0.7229382989762928,0.6666666666666666,0.3333333333333333
AAPL,573,target_paragraph,FULL,797,432,365,246,0,0,0,0,0.685958904109589,0.21829072503723085,0.3753979426338887,0.6913425345043914,0.5796737766624843,False,0.6815203592715295,0.75,0.6219178082191781
AAPL,573,target_paragraph,TFIDF_SVM,797,432,365,225,0,149,85,64,0.7119641045154743,0.20357081505858374,0.42881030318642727,0.7176913425345044,0.5859473023839398,False,0.5971711411312434,0.7800925925925926,0.6438356164383562
AAPL,573,target_paragraph,A1,797,432,365,284,797,188,75,113,0.6277428970065957,0.22776731783311244,0.2778043311589693,0.64366373902133,0.7001254705144291,False,0.6477275013123653,0.8171296296296297,0.4383561643835616
AAPL,573,target_paragraph,A2,797,432,365,304,797,228,85,143,0.6007705479452055,0.23269336495715104,0.2236884414841821,0.6185696361355082,0.7202007528230866,False,0.6577715859867884,0.8125,0.38904109589041097
AAPL,573,target_paragraph,A3,797,432,365,268,797,182,80,102,0.6532724505327245,0.22074372951572133,0.31768859559257046,0.6637390213299874,0.6373902132998746,False,0.6328603269406498,0.7777777777777778,0.5287671232876713
AAPL,573,target_paragraph,B1,797,432,365,242,797,18,11,7,0.6914383561643835,0.21722535443529786,0.3858465928427175,0.6963613550815558,0.5746549560853199,False,0.6687616315807305,0.75,0.6328767123287671
AAPL,573,target_paragraph,B2,797,432,365,265,797,61,21,40,0.6626934297311009,0.22617900196376953,0.32754393677020366,0.6675031367628608,0.5708908406524467,False,0.6995268109130287,0.7199074074074074,0.6054794520547945
AAPL,573,target_paragraph,FULL_SHRINK,797,432,365,246,0,0,0,0,0.685958904109589,0.2096456194700917,0.3753979426338887,0.6913425345043914,0.5796737766624843,False,0.6099575079716292,0.75,0.6219178082191781
AAPL,574,no_news,FULL,6,3,3,4,0,0,0,0,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False,0.7434015472078176,0.6666666666666666,0.0
AAPL,574,no_news,TFIDF_SVM,6,3,3,3,0,1,1,0,0.5,0.29014153989221614,0.0,0.5,1.0,True,0.7747679405409738,1.0,0.0
AAPL,574,no_news,A1,6,3,3,4,0,0,0,0,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False,0.7434015472078176,0.6666666666666666,0.0
AAPL,574,no_news,A2,6,3,3,4,0,0,0,0,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False,0.7434015472078176,0.6666666666666666,0.0
AAPL,574,no_news,A3,6,3,3,4,0,0,0,0,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False,0.7434015472078176,0.6666666666666666,0.0
AAPL,574,no_news,B1,6,3,3,4,0,0,0,0,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False,0.7434015472078176,0.6666666666666666,0.0
