symbol,seed,reference,method,true_label,n,changed,repaired,introduced,delta_BA
AAPL,573,FULL,A1,0,368,109,21,88,-0.05769927536231878
AAPL,573,FULL,A1,1,435,79,54,25,-0.05769927536231878
AAPL,573,FULL,A2,0,368,135,25,110,-0.08445464767616184
AAPL,573,FULL,A2,1,435,93,60,33,-0.08445464767616184
AAPL,573,FULL,A3,0,368,98,32,66,-0.03240254872563719
AAPL,573,FULL,A3,1,435,84,48,36,-0.03240254872563719
AAPL,573,FULL,B1,0,368,8,6,2,0.005434782608695787
AAPL,573,FULL,B1,1,435,10,5,5,0.005434782608695787
AAPL,573,FULL,B2,0,368,32,13,19,-0.023094702648675636
AAPL,573,FULL,B2,1,435,29,8,21,-0.023094702648675636
AAPL,573,FULL,FULL_SHRINK,0,368,0,0,0,0.0
AAPL,573,FULL,FULL_SHRINK,1,435,0,0,0,0.0
AAPL,573,FULL,TFIDF_SVM_PRICE_FALLBACK,0,368,82,45,37,0.02581209395302353
AAPL,573,FULL,TFIDF_SVM_PRICE_FALLBACK,1,435,67,40,27,0.02581209395302353
AAPL,573,TFIDF_SVM,A1,0,368,104,15,89,-0.08330209895052476
AAPL,573,TFIDF_SVM,A1,1,435,49,32,17,-0.08330209895052476
AAPL,573,TFIDF_SVM,A2,0,368,132,20,112,-0.11005747126436782
AAPL,573,TFIDF_SVM,A2,1,435,71,42,29,-0.11005747126436782
AAPL,573,TFIDF_SVM,A3,0,368,77,18,59,-0.05800537231384317
AAPL,573,TFIDF_SVM,A3,1,435,52,25,27,-0.05800537231384317
AAPL,573,TFIDF_SVM,B1,0,368,83,40,43,-0.020168040979510193
AAPL,573,TFIDF_SVM,B1,1,435,70,28,42,-0.020168040979510193
AAPL,573,TFIDF_SVM,B2,0,368,87,37,50,-0.048697526236881616
AAPL,573,TFIDF_SVM,B2,1,435,73,23,50,-0.048697526236881616
AAPL,573,TFIDF_SVM,FULL_SHRINK,0,368,83,38,45,-0.02560282358820598
AAPL,573,TFIDF_SVM,FULL_SHRINK,1,435,68,27,41,-0.02560282358820598
AAPL,573,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,0,368,1,1,0,0.00020927036481754868
AAPL,573,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,1,435,1,0,1,0.00020927036481754868
AAPL,574,FULL,A1,0,368,102,22,80,-0.04776986506746628
AAPL,574,FULL,A1,1,435,79,53,26,-0.04776986506746628
AAPL,574,FULL,A2,0,368,133,21,112,-0.08915854572713644
AAPL,574,FULL,A2,1,435,90,60,30,-0.08915854572713644
AAPL,574,FULL,A3,0,368,100,34,66,-0.03773113443278375
AAPL,574,FULL,A3,1,435,73,39,34,-0.03773113443278375
AAPL,574,FULL,B1,0,368,15,9,6,0.0017772363818090442
AAPL,574,FULL,B1,1,435,10,4,6,0.0017772363818090442
AAPL,574,FULL,B2,0,368,25,15,10,-0.0069996251874062665
AAPL,574,FULL,B2,1,435,34,11,23,-0.0069996251874062665
