seed,symbol,fold,method,calibration_model,terms,bigrams,numeric_terms,negation_terms,C,rho,semantic_dimensions
573,AAPL,0,A1,0,5000.0,0,765,3,1.0,0.0,0
573,AAPL,0,A2,0,5000.0,2789,775,15,1.0,0.0,0
573,AAPL,0,A3,0,5000.0,2786,756,16,1.0,0.0,0
573,AAPL,0,A3,1,5000.0,2785,764,15,1.0,0.0,0
573,AAPL,0,A3,2,5000.0,2799,781,14,1.0,0.0,0
573,AAPL,0,B1,-1,500.0,0,0,0,0.1,0.1,16
573,AAPL,0,B2,-1,500.0,0,0,0,0.01,0.1,768
573,AAPL,1,A1,0,5000.0,0,759,3,1.0,0.0,0
573,AAPL,1,A2,0,5000.0,2792,784,15,1.0,0.0,0
573,AAPL,1,A3,0,5000.0,2799,766,15,1.0,0.0,0
573,AAPL,1,A3,1,5000.0,2788,768,15,1.0,0.0,0
573,AAPL,1,A3,2,5000.0,2797,797,13,1.0,0.0,0
573,AAPL,1,B1,-1,,0,0,0,1.0,0.0,0
573,AAPL,1,B2,-1,,0,0,0,1.0,0.0,0
573,AAPL,2,A1,0,5000.0,0,743,3,1.0,0.0,0
573,AAPL,2,A2,0,5000.0,2790,775,15,1.0,0.0,0
573,AAPL,2,A3,0,5000.0,2771,757,15,1.0,0.0,0
573,AAPL,2,A3,1,5000.0,2789,761,15,1.0,0.0,0
573,AAPL,2,A3,2,5000.0,2793,778,15,1.0,0.0,0
573,AAPL,2,B1,-1,500.0,0,0,0,0.1,1.0,16
573,AAPL,2,B2,-1,500.0,0,0,0,0.1,1.0,768
573,AAPL,3,A1,0,5000.0,0,758,3,1.0,0.0,0
573,AAPL,3,A2,0,5000.0,2793,775,15,1.0,0.0,0
573,AAPL,3,A3,0,5000.0,2790,761,15,1.0,0.0,0
573,AAPL,3,A3,1,5000.0,2785,776,13,1.0,0.0,0
573,AAPL,3,A3,2,5000.0,2796,778,17,1.0,0.0,0
573,AAPL,3,B1,-1,500.0,0,0,0,0.1,0.1,16
573,AAPL,3,B2,-1,500.0,0,0,0,1.0,0.1,768
573,AAPL,4,A1,0,5000.0,0,758,3,1.0,0.0,0
573,AAPL,4,A2,0,5000.0,2786,777,15,1.0,0.0,0
573,AAPL,4,A3,0,5000.0,2766,743,16,1.0,0.0,0
573,AAPL,4,A3,1,5000.0,2788,767,14,1.0,0.0,0
573,AAPL,4,A3,2,5000.0,2782,777,15,1.0,0.0,0
573,AAPL,4,B1,-1,500.0,0,0,0,1.0,0.1,16
573,AAPL,4,B2,-1,500.0,0,0,0,1.0,0.1,768
573,AAPL,5,A1,0,5000.0,0,746,3,1.0,0.0,0
573,AAPL,5,A2,0,5000.0,2786,773,15,1.0,0.0,0
573,AAPL,5,A3,0,5000.0,2790,759,16,1.0,0.0,0
573,AAPL,5,A3,1,5000.0,2783,779,15,1.0,0.0,0
573,AAPL,5,A3,2,5000.0,2792,786,15,1.0,0.0,0
573,AAPL,5,B2,-1,500.0,0,0,0,1.0,0.1,768
573,AAPL,5,B1,-1,,0,0,0,1.0,0.0,0
573,AAPL,6,A1,0,5000.0,0,746,3,1.0,0.0,0
573,AAPL,6,A2,0,5000.0,2795,776,15,1.0,0.0,0
573,AAPL,6,A3,0,5000.0,2754,737,15,1.0,0.0,0
573,AAPL,6,A3,1,5000.0,2798,782,15,1.0,0.0,0
573,AAPL,6,A3,2,5000.0,2796,777,14,1.0,0.0,0
573,AAPL,6,B2,-1,500.0,0,0,0,0.1,1.0,768
573,AAPL,6,B1,-1,,0,0,0,0.1,0.0,0
