method,C,rho,inner_fold,n,BA,Brier,MCC,accuracy,predicted_up,constant,seed,symbol,fold
A1,0.01,0.0,0,241,0.5,0.24814717417443583,0.0,0.5435684647302904,1.0,True,573,AAPL,0
A1,0.1,0.0,0,241,0.5,0.24552934321166434,0.0,0.5435684647302904,1.0,True,573,AAPL,0
A1,1.0,0.0,0,241,0.600763358778626,0.23327920123891552,0.22111466456585402,0.6182572614107884,0.7095435684647303,False,573,AAPL,0
A1,0.01,0.0,1,241,0.5045045045045045,0.24700773854003702,0.06985613702374244,0.5435684647302904,0.995850622406639,False,573,AAPL,0
A1,0.1,0.0,1,241,0.5045045045045045,0.24538336229689847,0.06985613702374244,0.5435684647302904,0.995850622406639,False,573,AAPL,0
A1,1.0,0.0,1,241,0.5763340263340263,0.2372299896724894,0.16985146852795058,0.5933609958506224,0.7219917012448133,False,573,AAPL,0
A1,0.01,0.0,2,240,0.5,0.2487326762888525,0.0,0.5416666666666666,1.0,True,573,AAPL,0
A1,0.1,0.0,2,240,0.5,0.24640966692169763,0.0,0.5416666666666666,1.0,True,573,AAPL,0
A1,1.0,0.0,2,240,0.6006993006993007,0.23498242922540633,0.21897956058054355,0.6166666666666667,0.7,False,573,AAPL,0
A2,0.01,0.0,0,241,0.5,0.2481741973276242,0.0,0.5435684647302904,1.0,True,573,AAPL,0
A2,0.1,0.0,0,241,0.5,0.2459537717026306,0.0,0.5435684647302904,1.0,True,573,AAPL,0
A2,1.0,0.0,0,241,0.6000346981263012,0.23689779768659616,0.22142932903196633,0.6182572614107884,0.7178423236514523,False,573,AAPL,0
A2,0.01,0.0,1,241,0.5045045045045045,0.24712672110823142,0.06985613702374244,0.5435684647302904,0.995850622406639,False,573,AAPL,0
A2,0.1,0.0,1,241,0.5045045045045045,0.24626283444237734,0.06985613702374244,0.5435684647302904,0.995850622406639,False,573,AAPL,0
A2,1.0,0.0,1,241,0.5615038115038116,0.24159182136743312,0.14179152687585875,0.5809128630705395,0.7510373443983402,False,573,AAPL,0
A2,0.01,0.0,2,240,0.5,0.24878846822912584,0.0,0.5416666666666666,1.0,True,573,AAPL,0
A2,0.1,0.0,2,240,0.5,0.24699063066634655,0.0,0.5416666666666666,1.0,True,573,AAPL,0
A2,1.0,0.0,2,240,0.5625874125874126,0.23953181846498744,0.136650896609597,0.5791666666666667,0.7041666666666667,False,573,AAPL,0
