symbol,seed,scope,mutable,oracle_BA,note
AAPL,573,A_news,797,0.9961331834082958,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AAPL,573,B_target_paragraph,797,0.9961331834082958,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AAPL,574,A_news,797,0.994774487756122,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AAPL,574,B_target_paragraph,797,0.994774487756122,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AAPL,575,A_news,797,0.9961331834082958,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AAPL,575,B_target_paragraph,797,0.9961331834082958,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AMZN,573,A_news,415,0.78691266851705,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AMZN,573,B_target_paragraph,412,0.78691266851705,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AMZN,574,A_news,415,0.7738525971451229,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AMZN,574,B_target_paragraph,412,0.7726506740681999,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AMZN,575,A_news,415,0.7894899881046789,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
AMZN,575,B_target_paragraph,412,0.7870861419508327,UNDEPLOYABLE KNOWS-ANSWERS UPPER BOUND; not selection evidence
