symbol,reference,method,resampling,delta_BA,low,high,replicates
AAPL,FULL,A1,day1,-0.058534274529401964,-0.09205671467613205,-0.028053002397468604,1000
AAPL,FULL,A1,day5,-0.058534274529401964,-0.09022056785352431,-0.025118378487150053,1000
AAPL,FULL,A1,association_group,-0.058534274529401964,-0.08784009988202734,-0.030659889492094753,1000
AAPL,FULL,A2,day1,-0.08361860736298518,-0.11983438306538288,-0.04665629599975011,1000
AAPL,FULL,A2,day5,-0.08361860736298518,-0.12694835881717803,-0.047363812725180865,1000
AAPL,FULL,A2,association_group,-0.08361860736298518,-0.11994386927440004,-0.049463575073065355,1000
AAPL,FULL,A3,day1,-0.04288688988838914,-0.0760560883717782,-0.011789510686456181,1000
AAPL,FULL,A3,day5,-0.04288688988838914,-0.07628164951902228,-0.01178461617842256,1000
AAPL,FULL,A3,association_group,-0.04288688988838914,-0.07571792375504478,-0.017073638974379753,1000
AAPL,FULL,B1,day1,0.0001749125437281356,-0.006939201172017814,0.007154003092049332,1000
AAPL,FULL,B1,day5,0.0001749125437281356,-0.007122117791782515,0.007240671901064716,1000
AAPL,FULL,B1,association_group,0.0001749125437281356,-0.0068415003588584,0.007059650889314727,1000
AAPL,FULL,B2,day1,-0.015882683658170912,-0.02946657186684409,-0.003466968300283632,1000
AAPL,FULL,B2,day5,-0.015882683658170912,-0.02993978021445604,-0.0025892975508212705,1000
AAPL,FULL,B2,association_group,-0.015882683658170912,-0.028076660381913282,0.00019013491709918455,1000
AAPL,FULL,FULL_SHRINK,day1,0.0,0.0,0.0,1000
AAPL,FULL,FULL_SHRINK,day5,0.0,0.0,0.0,1000
AAPL,FULL,FULL_SHRINK,association_group,0.0,0.0,0.0,1000
AAPL,FULL,TFIDF_SVM_PRICE_FALLBACK,day1,0.019785940363151754,-0.004799929588222678,0.04476864759438381,1000
AAPL,FULL,TFIDF_SVM_PRICE_FALLBACK,day5,0.019785940363151754,-0.00671973198448343,0.04770132033236703,1000
AAPL,FULL,TFIDF_SVM_PRICE_FALLBACK,association_group,0.019785940363151754,-0.0043825232701603135,0.04393461616468243,1000
