seed,symbol,fold,method,C,rho
573,AAPL,0,A1,1.0,0.0
573,AAPL,0,A2,1.0,0.0
573,AAPL,0,A3,1.0,0.0
573,AAPL,0,B1,0.1,0.1
573,AAPL,0,B2,0.01,0.1
573,AAPL,1,A1,1.0,0.0
573,AAPL,1,A2,1.0,0.0
573,AAPL,1,A3,1.0,0.0
573,AAPL,1,B1,1.0,0.0
573,AAPL,1,B2,1.0,0.0
573,AAPL,2,A1,1.0,0.0
573,AAPL,2,A2,1.0,0.0
573,AAPL,2,A3,1.0,0.0
573,AAPL,2,B1,0.1,1.0
573,AAPL,2,B2,0.1,1.0
573,AAPL,3,A1,1.0,0.0
573,AAPL,3,A2,1.0,0.0
573,AAPL,3,A3,1.0,0.0
573,AAPL,3,B1,0.1,0.1
573,AAPL,3,B2,1.0,0.1
573,AAPL,4,A1,1.0,0.0
573,AAPL,4,A2,1.0,0.0
573,AAPL,4,A3,1.0,0.0
573,AAPL,4,B1,1.0,0.1
573,AAPL,4,B2,1.0,0.1
573,AAPL,5,A1,1.0,0.0
573,AAPL,5,A2,1.0,0.0
573,AAPL,5,A3,1.0,0.0
573,AAPL,5,B1,1.0,0.0
573,AAPL,5,B2,1.0,0.1
573,AAPL,6,A1,1.0,0.0
573,AAPL,6,A2,1.0,0.0
573,AAPL,6,A3,1.0,0.0
573,AAPL,6,B1,0.1,0.0
573,AAPL,6,B2,0.1,1.0
573,AAPL,7,A1,1.0,0.0
573,AAPL,7,A2,1.0,0.0
573,AAPL,7,A3,1.0,0.0
573,AAPL,7,B1,0.1,0.1
573,AAPL,7,B2,0.1,0.0
573,AAPL,8,A1,1.0,0.0
573,AAPL,8,A2,1.0,0.0
573,AAPL,8,A3,1.0,0.0
573,AAPL,8,B1,0.1,0.1
573,AAPL,8,B2,0.1,0.0
573,AAPL,9,A1,1.0,0.0
573,AAPL,9,A2,1.0,0.0
573,AAPL,9,A3,1.0,0.0
573,AAPL,9,B1,1.0,0.0
573,AAPL,9,B2,1.0,0.0
573,AMZN,0,A1,1.0,0.0
