seed,symbol,fold,selected_a
573,AAPL,0,0.75
573,AAPL,1,0.5
573,AAPL,2,0.5
573,AAPL,3,0.5
573,AAPL,4,0.5
573,AAPL,5,0.5
573,AAPL,6,0.75
573,AAPL,7,0.75
573,AAPL,8,0.75
573,AAPL,9,0.5
573,AMZN,0,0.25
573,AMZN,1,0.5
573,AMZN,2,0.25
573,AMZN,3,0.25
573,AMZN,4,0.25
573,AMZN,5,0.5
573,AMZN,6,0.25
573,AMZN,7,0.5
573,AMZN,8,0.5
573,AMZN,9,0.25
574,AAPL,0,0.5
574,AAPL,1,0.5
574,AAPL,2,0.5
574,AAPL,3,0.75
574,AAPL,4,0.5
574,AAPL,5,0.5
574,AAPL,6,0.75
574,AAPL,7,0.5
574,AAPL,8,0.75
574,AAPL,9,0.5
574,AMZN,0,0.5
574,AMZN,1,0.5
574,AMZN,2,0.5
574,AMZN,3,0.5
574,AMZN,4,0.5
574,AMZN,5,0.5
574,AMZN,6,0.5
574,AMZN,7,0.25
574,AMZN,8,0.5
574,AMZN,9,0.5
575,AAPL,0,0.75
575,AAPL,1,0.5
575,AAPL,2,0.25
575,AAPL,3,0.5
575,AAPL,4,0.5
575,AAPL,5,0.75
575,AAPL,6,0.5
575,AAPL,7,0.75
575,AAPL,8,0.5
575,AAPL,9,1.0
575,AMZN,0,0.25
575,AMZN,1,0.75
575,AMZN,2,0.5
575,AMZN,3,0.5
575,AMZN,4,0.25
575,AMZN,5,1.0
575,AMZN,6,0.5
575,AMZN,7,0.25
575,AMZN,8,0.25
575,AMZN,9,0.5
