method,symbol,BA_mean,BA_std,accuracy_mean,accuracy_std,MCC_mean,MCC_std,Brier_mean,Brier_std,log_loss_mean,log_loss_std,predicted_up_mean,predicted_up_std,TPR_mean,TPR_std,TNR_mean,TNR_std
A1,AAPL,0.617147676161919,0.008553460882203722,0.6322125363221254,0.009179470480488209,0.2526191474236314,0.020390543970210014,0.22915151900215738,0.0015267829855358502,0.6505256790435981,0.0031364765261152295,0.6903279369032793,0.008291815838704125,0.7977011494252874,0.01609195402298847,0.4365942028985507,0.0015688866010587727
A1,AMZN,0.6106017049960348,0.004991557759074664,0.6119402985074628,0.004308584098430048,0.22195851746703774,0.009207527114432967,0.23892017339379235,0.0036639546909548086,0.671133358789525,0.008096476264037216,0.5422885572139303,0.019744412769138738,0.6490384615384616,0.015012014419226897,0.5721649484536083,0.02485477000255921
A2,AAPL,0.5920633433283359,0.016797533674844392,0.609796596097966,0.01586676202043701,0.20417033036385146,0.035295113628590405,0.23456032065110513,0.0020606902407670426,0.6615518489284374,0.004190047535584691,0.7202158572021586,0.010591407905498637,0.8045977011494253,0.006896551724137945,0.3795289855072464,0.02828350542752898
A2,AMZN,0.6026177967221781,0.004775671500691413,0.603648424543947,0.004368015652094841,0.20559674851102527,0.009232860605668842,0.23912564706222447,0.0017967040406659009,0.6715645119425174,0.004324342587624566,0.533167495854063,0.012458523384176365,0.6322115384615384,0.008327167344081184,0.5730240549828179,0.017160639480616992
A3,AAPL,0.6327950608029318,0.016744875362341316,0.6425902864259029,0.017300677446388253,0.2739957500622268,0.03585749679335007,0.22209235770314936,0.0013903442858599975,0.6352170036600625,0.002737070725970334,0.6284765462847655,0.008291815838704086,0.750191570881226,0.02348130796328669,0.5153985507246377,0.010287877438043975
A3,AMZN,0.6116012424002114,0.010804606480648017,0.6131840796019901,0.009714240890431125,0.22436387784378206,0.02019789343078403,0.2341176618499999,0.0027849731512077777,0.6612743267871878,0.0065371260496870885,0.5493366500829188,0.031276416604547726,0.657051282051282,0.02100215131743781,0.566151202749141,0.04237581599703958
B1,AAPL,0.6758568632350492,0.013219833741534098,0.6807804068078042,0.013198931586205628,0.35436247930578707,0.0267386638820497,0.2238670664581299,0.0054538005588075575,0.7049721291382549,0.03172148927235704,0.5736820257368201,0.0019022730157558715,0.7348659003831418,0.013071817708223707,0.6168478260869565,0.013586956521739135
B1,AMZN,0.599553099392017,0.002796003847496704,0.6007462686567164,0.002487562189054743,0.19961920158741775,0.005281199254672809,0.2543327116447765,0.001587079879153185,0.7635695705317344,0.006154451627046191,0.5377280265339967,0.016185092285193253,0.6338141025641025,0.014687742612037981,0.5652920962199313,0.01810249785713534
B2,AAPL,0.6597992670331502,0.004305527211837125,0.663760896637609,0.004313949707519014,0.32091222939574876,0.008672493103448704,0.2295979362718428,0.0035120257519205764,0.7207824839583074,0.028749406277267697,0.5608136156081361,0.01006588265087767,0.70727969348659,0.010617935985096614,0.6123188405797101,0.011313402171011632
B2,AMZN,0.6040427570711077,0.012218430697301472,0.6057213930348259,0.011994590498747447,0.20916229754029833,0.02421096237417431,0.25691437340601125,0.003954456624905017,0.8265675400530621,0.02711805639511006,0.5518242122719735,0.018711913924372714,0.6522435897435898,0.01835967826504745,0.5558419243986255,0.02594444823117098
