symbol,row_id,tokens,unique_tokens,numbers,negations,article_members
AAPL,f2a78b000a79663eb6327d4c,4338,1082,428,0,6
AMZN,1904a6206efa01184d67eb85,1279,361,42,12,2
AAPL,40cde6a1215ede58483646e8,2959,1078,310,0,6
AMZN,5e67f20c3530cec0bdf8cbe8,1279,361,42,12,2
AAPL,50d24860f408254a3da45322,2830,1088,145,3,6
AMZN,5089a90211501117c52bcc8a,1721,354,48,18,3
AAPL,2ea6cb014c659b422e7d9efb,2883,1092,259,4,7
AMZN,5b093de7a8185b922a2ca469,0,0,0,0,0
AAPL,d4deafd163f4918f933d622b,4131,1427,320,14,9
AMZN,fa71bd9f21c0de223f016995,0,0,0,0,0
AAPL,0f2cf022f0639056bcc5f6b3,5988,1649,438,15,11
AMZN,e4dfd0c6d7a34d2d8f7e79ea,0,0,0,0,0
AAPL,ae44f2bac8ce7964cb8a8f2b,11001,2427,693,31,15
AMZN,028556d77494fe8db521bbd8,0,0,0,0,0
AAPL,3f24f00a1848701d48612b8b,13724,2864,868,42,20
AMZN,4e3eb4418ab654ca85721e44,807,375,11,5,1
AAPL,05d000d494ef3a3695e693cb,9867,2349,725,25,15
AMZN,78af4014067194879d7609b6,807,375,11,5,1
AAPL,5639cab4d5642912f476336c,5733,1631,192,21,11
AMZN,54a1a45749a51527352e7c66,0,0,0,0,0
AAPL,c46a065e62c121c936648ad1,4929,1462,171,15,10
AMZN,aac714ff3778d655c90b2cd7,0,0,0,0,0
AAPL,460388ddc8e2edbcc7801daa,4929,1462,171,15,10
AMZN,b1115c343d7c4b4674c71592,0,0,0,0,0
AAPL,1ab47a879fde47b40d5ea20f,6563,1618,440,5,12
AMZN,2c5aad27642cb45a2fd56a15,2060,661,88,6,2
AAPL,30072623e8b0ed16451e0fd8,6895,1798,534,9,13
AMZN,f94b1e931ffd8e1f1010c90b,2691,880,107,11,3
AAPL,71908d7a4e5096df835f6b0f,5315,1622,381,7,10
AMZN,09105927a487eb976cb8a150,2691,880,107,11,3
AAPL,f4b16c67d2179555d483579e,8810,1871,580,20,15
AMZN,4442d0fc6ec58b0fa3328a6f,0,0,0,0,0
AMZN,fb96d86f0d3b4f1f75768574,0,0,0,0,0
AAPL,f7ae6ce3bdda8cdab59493dd,10021,2271,914,20,16
AMZN,7acc81f31be1af1d17083fc7,0,0,0,0,0
AAPL,8865d56be148809893b8efa9,2072,746,129,6,3
AMZN,6ba90821bb95f4d11150ae1f,969,498,83,3,1
AAPL,6aff6059df364b2374a24d01,1235,463,182,0,1
AMZN,6e18a4d932a3da5395e757cd,969,498,83,3,1
AAPL,b6be7e504d63a357e6ed1fe8,1235,463,182,0,1
AMZN,acdaba11521a95c6b8cc482b,0,0,0,0,0
AAPL,248a71c603ac591a252e3fd5,3182,914,114,10,5
AMZN,a3a0035a9b2f613b7ced727b,0,0,0,0,0
AAPL,16da491d38ff83f0f102c266,2825,851,63,15,5
AMZN,a06b4dcaa4553fb214a6c799,0,0,0,0,0
AAPL,0703bd3bc5a3edb61d6b52c1,4984,1515,146,16,8
AMZN,6b84ef011ed4437909af9fa2,0,0,0,0,0
AAPL,21b66ac93429996b7457c386,7462,1608,574,19,9
AMZN,4f870db11bced95c206f4e60,0,0,0,0,0
AAPL,42b311f14d2fd32665482e6a,4837,1244,291,18,6
AMZN,fef713f5b89884df6d8fe9db,0,0,0,0,0
AAPL,fcffe4d991a969c8926d9702,4547,1176,268,14,5
AMZN,4b08207633157e8f9b6ddac2,0,0,0,0,0
AAPL,7aca5fc2718c7fd1cce2d78d,5387,1359,473,3,7
AMZN,3549f117dbac499782e16b86,306,172,2,2,1
AAPL,16e2d609298fe41ad876778e,4833,1538,345,7,9
AMZN,4dfb80924aa20bfadcfd6fab,306,172,2,2,1
AAPL,a9bbcfb8c11f2f9ec10f9777,4788,1591,310,10,10
AMZN,c148f0965f5972cd5cea4a38,0,0,0,0,0
AAPL,3dbdf252c1211367795b7463,10915,2320,560,27,16
AMZN,8c252002898a89fb15f568c5,125,92,0,0,1
AAPL,c4e369356800b97e5c9c400a,12293,2581,666,32,19
AMZN,87bf58a910ac6dcb04dcbde9,125,92,0,0,1
AAPL,4a17529d638e1a351b043b18,10919,2237,650,30,18
AMZN,d2cf0762f3252a0a3324d7a3,406,242,16,2,2
AAPL,ca5f6cdd2ad53d0c8cfbed3b,5972,1359,552,24,9
AMZN,4975f4baa039d165d3a8355a,624,343,27,1,1
AAPL,b740793e9d4a32f38ac9c3f9,9784,2074,848,35,15
AMZN,554ca3ae7a82859669965562,2367,713,83,15,3
AAPL,7c9084ffbfb12f3b3d91fc21,6127,1726,400,16,14
AMZN,e481d592eb016287add73cdd,3701,850,113,22,4
AAPL,7549a991e743e8c3c5effa8c,2728,1033,240,2,6
AMZN,f26a798b18f14e8a163245f8,0,0,0,0,0
AAPL,7a86274979d80e72635920e3,6223,1776,570,3,12
AMZN,79076762490b61690803bbce,0,0,0,0,0
AAPL,e23892d688a73fd1f2418b07,9402,2380,805,2,16
AMZN,a6e873132ca7838c3904ccba,408,254,30,1,1
AAPL,5a412f3ed73e4fdc9a6ff68c,10023,2328,579,28,15
AMZN,664b880a6e676dc284d1991b,464,269,3,0,1
AAPL,0d88105c65087db3546f7946,9673,2331,605,32,17
AMZN,b8f74f5e74ddfca34d96ad3a,464,269,3,0,1
AAPL,3c8aa102265d08ec617ed314,10605,2574,660,31,17
AMZN,31b866476ab6e912da400957,462,260,11,2,1
AAPL,7be16e86bc67cc1355402891,9698,2198,417,25,14
AMZN,7db8718553448af9b54e11a5,0,0,0,0,0
AAPL,a44bdaeebde583a4976d2791,10015,2128,435,30,17
AMZN,e35ff6ab4c84945af2fa8cde,0,0,0,0,0
AAPL,a005f9eae2a23ca990ebd8ab,8807,1964,359,30,19
AMZN,2cb27ceda5ebb08e374a677a,0,0,0,0,0
AAPL,df8cb2c722b08eaf50babdad,3908,1344,164,12,8
AMZN,893aad7e96a37ea6f445376e,0,0,0,0,0
AAPL,bd618fa4ca860aac4ea4087a,6484,1830,323,19,11
AMZN,00b233d9e545a08d163906f5,0,0,0,0,0
AAPL,de4e2f989e9c8bc239a8e07c,6901,1868,325,21,11
AMZN,1d575fbd742900925f8bf8bc,0,0,0,0,0
AAPL,a76a80999a069d6b605851a3,4935,933,294,1,5
AMZN,5ec489e9ef5c2affcc391c01,0,0,0,0,0
AAPL,ab547f09e1199eacc1270945,8657,1468,478,9,12
AMZN,50310b51bb187b9427bccbcc,0,0,0,0,0
AAPL,de447373b03e17cd370c72c2,9974,1725,585,12,14
AMZN,784e0ece43a18905c7704f18,0,0,0,0,0
AAPL,92129caf550135fcda71859f,10439,2353,805,14,18
AMZN,044d7c85827f2309cae37982,0,0,0,0,0
AAPL,ed4a6ad398834d66dd477609,11634,2445,926,18,24
AMZN,14ad373688d35f6896cfee33,0,0,0,0,0
AAPL,fd16e0c609bea651bb677e4d,9941,2096,606,13,21
AMZN,ec30bb1bc2e8f998618a7374,0,0,0,0,0
AAPL,8e9bffa07b221a970b963f4e,8759,2338,409,17,17
AMZN,961acbf70e837ea9a43b8fda,1075,540,21,4,2
AAPL,cd7866a78f1ad3cb5e33d727,9661,2459,442,19,22
AMZN,7ce8189fa8d30520adf99e57,1244,595,27,4,4
AAPL,1c0f668823e3e6a12776889a,11806,2768,515,31,25
AMZN,51c55ae5cbe760a1282dca51,2409,1027,96,9,5
AAPL,7d3e28817e786cb8875c5168,6592,1593,445,10,11
AMZN,879ffec466ba26c583fd2a6c,2108,897,84,2,3
AAPL,aeba0ead24c1328e85a2e8db,12267,2490,897,14,19
AMZN,0a1fe2e795363c420ea0f173,2108,897,84,2,3
AAPL,6b25369ef37167a7547ed2c2,15526,2846,1085,20,25
AMZN,1603a5ddfda9c14a3065f678,2566,1028,118,2,4
AAPL,480f5091682623f3551f4ada,4601,1566,229,8,8
AMZN,aac1022c88deb235763f9834,2604,730,151,18,2
AAPL,28ca703d625c2accab630e58,4345,1592,232,5,9
AMZN,3e8808dc413a9e88aac8dbe0,2604,730,151,18,2
AAPL,40931f50d8a411ee94d9dbd1,6010,1693,279,11,11
AMZN,e5458e3c7133d8bec4609dff,4226,1189,203,20,4
AAPL,387197c383d3558ec22c64ec,16656,3302,1184,43,24
AMZN,0e50dd54186d0e8128238dd4,3448,1101,117,19,5
AAPL,4bf19702431b98e323f4d8d5,18334,3390,1341,30,28
AMZN,2a6a0457748f76aaf5c3c150,5494,1556,250,12,9
AAPL,78e73aaa0a3eb168fdaeace8,19762,3605,1432,42,32
AMZN,0a58a81e32fd79312a6274ef,4530,1548,220,9,8
AAPL,2a63eba446d6c7e37a708be9,4435,1267,266,17,13
AMZN,b325a730d80010074a5d2e18,551,287,14,3,1
AAPL,0206d5cca4880df55ed2e7a5,4784,1387,296,18,16
AMZN,9a7f1ec68a53f3b6b5cbd7fd,551,287,14,3,1
AAPL,6e973987382ae0d2b89ee274,6057,1664,325,24,20
AMZN,e422f4cb24266b4a0aafc5f5,551,287,14,3,1
AAPL,400f93525f27af0bcc99018c,9095,1793,722,5,12
AMZN,15bedb69e50cb85d2e8d8de2,0,0,0,0,0
AAPL,06dd9cec7ee9e59d66eb1102,9210,2045,727,8,13
AMZN,09c8623dd096078987be8121,0,0,0,0,0
AAPL,09dbc22be8e4814091f9407a,9400,2248,664,16,14
AMZN,c65cc2527ebde3d3046189dd,231,149,18,1,1
AAPL,4a2efbc12d417d32ff6a8f84,4494,1396,222,19,10
AMZN,45f97c2fc4adefe0d8843240,1098,470,20,3,1
AAPL,7170795a156fbd37d0c514f8,5894,1738,317,23,15
AMZN,e9f263006b5708f5e54fad17,1098,470,20,3,1
AAPL,53b8526f896f37a254f72189,6135,1773,326,21,16
AMZN,a7de667dd41754f78fd1daf4,1098,470,20,3,1
AAPL,0f0958e86faccf8357e3e241,3368,1005,243,1,5
AMZN,68e19d6a24c54922d6356847,0,0,0,0,0
AAPL,613faad3ec93b3d3a3871844,4848,1328,235,15,7
AMZN,7286eb39a2f9d5aca6ed081c,0,0,0,0,0
AAPL,0c5c3960980407bc5ebba748,5352,1454,295,18,8
AMZN,76bdeeb3aa481f1898b4f4ac,0,0,0,0,0
AAPL,f768cd8458c34c1c83cc57a2,5415,1144,492,0,6
